Giá,Diện tích,Mã tin,Mặt tiền,Đường trước nhà,Số tầng,Số phòng,Số toilet,Nội thất Copy
12.8,80.0,316127,5,10,4,3,2,không
7.1,40.0,316099,4,4,5,8,8,không
7.1,40.0,316098,4,4,5,8,8,không
30.0,100.0,316094,4,1,1,1,1,không
4.0,75.0,316064,4,7,3,3,2,không
17.5,125.0,316059,5,12,5,6,6,không
0.0,0.0,316050,1,1,1,1,1,không
23.0,155.0,316049,6,20,1,1,1,không
10.5,64.0,316048,4,21,2,1,2,không
10.5,64.0,316046,4,21,2,1,2,không
0.0,0.0,316027,1,1,1,1,1,không
18.8,104.0,316018,4,12,6,4,4,cơ bản
26.0,75.0,315973,5,1,4,1,1,không
26.0,75.0,315972,5,1,4,1,1,không
26.0,75.0,315971,5,1,4,1,1,không
18.0,80.0,315970,4,1,2,1,1,không
18.0,80.0,315969,4,1,2,1,1,không
18.0,72.0,315967,4,1,3,1,1,không
1.55,16.0,315945,4,3,2,2,2,không
5.6,371.0,315943,4,3,2,2,2,không
6.9,53.0,315932,3,4,3,4,3,không
6.9,53.0,315931,3,4,3,4,3,không
6.9,53.0,315930,3,4,3,4,3,không
6.0,118.0,297995,4,3,3,4,4,không
5.3,64.0,315906,6,6,2,2,2,không
0.0,40.0,315899,4,4,5,8,8,không
0.0,40.0,315898,4,4,5,8,8,không
0.0,40.0,315897,4,4,5,8,8,không
6.63,42.0,314788,4,6,3,2,3,không
11.5,105.0,314842,6,16,3,6,6,không
17.2,85.0,314118,5,4,6,16,16,đầy đủ
17.5,110.0,314216,7,12,5,6,5,đầy đủ
35.0,445.0,314200,13,20,1,4,4,không
6.8,62.0,315878,4,4,2,3,3,không
6.8,62.0,315877,4,4,2,3,3,không
6.8,62.0,315876,4,4,2,3,3,không
0.0,0.0,315865,1,1,1,1,1,không
4.5,37.0,315850,4,4,4,6,5,không
4.5,37.0,315849,4,4,4,6,5,không
4.5,37.0,315848,4,4,4,6,5,không
4.5,37.0,315847,4,4,4,6,5,không
15.0,350.0,315841,1,1,1,1,1,không
920.0,80.0,315498,5,8,2,2,2,đầy đủ
15.8,100.0,315818,5,6,3,7,6,không
4.85,39.0,315817,4,6,3,4,3,không
13.8,132.0,314052,4,20,1,2,2,không
26.0,135.0,314330,5,6,6,6,7,cơ bản
0.0,55.0,314038,4,6,5,4,4,cơ bản
2.2,44.0,313946,7,3,1,1,1,không
12.0,65.0,315073,5,12,4,4,4,không
20.5,128.0,315141,6,8,3,7,7,không
12.5,33.0,314369,6,30,4,4,4,cơ bản
8.8,46.0,315816,1,6,4,1,1,đầy đủ
16.0,78.0,314304,4,12,4,4,5,cơ bản
5.2,36.0,315702,4,5,4,3,3,không
15.9,95.0,315722,5,6,5,5,5,không
3.5,37.0,315705,4,3,2,2,2,không
93.0,225.0,314947,15,12,3,7,7,không
12.4,172.0,313523,4,10,4,4,4,không
4.3,94.0,315800,6,6,1,1,1,không
5.95,36.0,315779,4,5,4,5,4,không
5.95,36.0,315778,4,5,4,5,4,không
5.95,36.0,315777,4,5,4,5,4,không
5.95,36.0,315776,4,5,4,5,4,không
5.95,36.0,315774,4,5,4,5,4,không
5.95,36.0,315773,4,5,4,5,4,không
5.95,36.0,315770,4,5,4,5,4,không
5.95,36.0,315769,4,5,4,5,4,không
5.95,36.0,315768,4,5,4,5,4,không
5.95,36.0,315767,4,5,4,5,4,không
5.95,36.0,315765,4,5,4,5,4,không
5.95,36.0,315764,4,5,4,5,4,không
5.95,36.0,315763,4,5,4,5,4,không
5.95,36.0,315762,4,5,4,5,4,không
35.9,135.0,315759,12,12,5,6,6,không
9.5,45.0,315755,4,6,6,5,5,cơ bản
3.6,40.0,315743,4,6,2,2,2,không
7.9,55.0,315737,4,5,2,3,2,không
5.15,59.0,315725,7,4,5,7,8,không
7.2,77.0,315723,4,6,4,5,5,không
5.6,65.0,315721,4,10,3,6,5,không
12.0,90.0,315720,5,20,4,6,4,không
0.0,0.0,314962,8,12,3,6,6,không
8.5,40.0,314926,4,20,3,3,2,không
2.79,46.0,314925,5,1,1,2,1,không
11.5,100.0,315704,5,20,4,6,4,không
11.0,45.0,315693,1,1,1,1,1,không
7.5,50.0,315692,1,1,1,1,1,không
4.5,36.0,315685,4,9,3,3,4,không
9.5,50.0,315675,4,7,4,4,4,không
3.8,40.0,315674,4,4,4,4,4,không
0.0,0.0,315662,4,4,6,11,6,không
5.2,50.0,315661,4,6,2,3,3,không
4.2,33.0,315660,4,8,2,2,2,không
7.9,55.0,315658,4,5,2,3,2,không
4.9,30.0,315646,4,8,4,3,4,không
6.5,70.0,315644,7,4,3,9,9,không
6.5,70.0,315645,7,4,3,9,9,không
6.5,70.0,315643,7,4,3,9,9,không
6.5,70.0,315642,7,4,3,9,9,không
6.5,70.0,315641,7,4,3,9,9,không
6.5,70.0,315640,7,4,3,9,9,không
6.5,70.0,315639,7,4,3,9,9,không
6.5,70.0,315638,7,4,3,9,9,không
6.5,70.0,315637,7,4,3,9,9,không
6.5,70.0,315636,7,4,3,9,9,không
6.5,70.0,315635,7,4,3,9,9,không
6.5,70.0,315634,7,4,3,9,9,không
6.5,70.0,315632,7,4,3,9,9,không
6.5,70.0,315630,7,4,3,9,9,không
6.5,70.0,315629,7,4,3,9,9,không
24.0,148.0,315627,7,16,2,2,2,không
7.9,55.0,315614,4,5,2,3,2,không
11.5,63.0,315611,5,16,6,18,16,không
5.8,51.0,315610,5,4,2,3,2,không
5.8,51.0,315609,5,4,2,3,2,không
5.8,51.0,315608,5,4,2,3,2,không
5.8,51.0,315607,5,4,2,3,2,không
5.8,51.0,315606,5,4,2,3,2,không
5.8,51.0,315605,5,4,2,3,2,không
5.8,51.0,315604,5,4,2,3,2,không
22.9,85.0,315602,4,20,2,2,2,không
5.8,51.0,315601,5,4,2,3,2,không
5.8,51.0,315600,5,4,2,3,2,không
5.8,51.0,315599,5,4,2,3,2,không
5.8,51.0,315597,5,4,2,3,2,không
5.8,51.0,315598,5,4,2,3,2,không
5.8,51.0,315595,5,4,2,3,2,không
5.8,51.0,315596,5,4,2,3,2,không
5.8,51.0,315594,5,4,2,3,2,không
5.8,51.0,315593,5,4,2,3,2,không
5.8,51.0,315592,5,4,2,3,2,không
5.8,51.0,315591,5,4,2,3,2,không
5.8,51.0,315590,5,4,2,3,2,không
12.5,85.0,315587,5,18,2,4,4,không
5.5,52.0,315582,4,6,5,4,4,không
2.23,20.0,315370,3,3,3,2,2,không
5.8,51.0,315581,5,4,2,3,2,không
5.8,51.0,315579,5,4,2,3,2,không
5.8,51.0,315578,5,4,2,3,2,không
11.0,95.0,315573,6,4,1,3,2,không
7.9,55.0,315570,4,5,2,3,2,không
16.5,96.0,315568,6,8,6,9,4,không
3.6,45.0,315556,5,3,3,3,3,không
5.6,36.0,314003,4,6,4,3,3,đầy đủ
35.0,145.0,314197,13,20,1,4,4,không
15.99,129.0,314364,4,7,6,32,32,không
67.0,305.0,314655,12,10,4,6,6,không
16.5,96.0,314554,6,8,5,9,4,cơ bản
3.4,39.0,315549,4,5,2,2,2,không
1.86,50.0,315542,1,1,1,1,1,không
7.9,55.0,315535,4,5,2,3,2,không
66.5,230.0,315526,12,8,9,52,55,không
7.9,55.0,315523,4,5,2,3,2,không
6.0,45.0,315519,4,4,4,4,3,không
6.0,45.0,315518,4,4,4,4,3,không
6.0,45.0,315517,4,4,4,4,3,không
6.0,45.0,315516,4,4,4,4,3,không
6.0,45.0,315515,4,4,4,4,3,không
6.0,45.0,315514,4,4,4,4,3,không
6.0,45.0,315512,4,4,4,4,3,không
3.7,47.0,315506,4,3,2,2,2,không
2.79,46.0,314109,5,3,1,1,1,không
14.0,85.0,315422,5,10,5,5,5,không
3.0,51.0,315495,4,5,2,2,2,không
3.0,51.0,315493,4,5,2,2,2,không
649.0,64.0,315486,4,5,1,2,1,không
3.75,48.0,314401,4,5,2,3,2,không
23.9,97.0,314239,9,12,4,5,5,cơ bản
27.0,283.0,315350,12,12,1,1,1,không
4.5,20.0,315392,3,6,3,2,2,không
23.0,100.0,315479,6,8,4,5,6,không
3.0,51.0,315478,4,5,2,2,2,không
0.0,100.0,315469,5,1,1,1,1,không
6.5,40.0,315468,4,4,4,6,4,không
0.0,100.0,315467,5,1,1,1,1,không
6.5,40.0,315465,4,4,4,6,4,không
6.5,40.0,315464,4,4,4,6,4,không
6.5,40.0,315463,4,4,4,6,4,không
6.5,40.0,315462,4,4,4,6,4,không
6.5,40.0,315461,4,4,4,6,4,không
6.5,40.0,315460,4,4,4,6,4,không
6.5,40.0,315459,4,4,4,6,4,không
6.5,40.0,315458,4,4,4,6,4,không
6.5,40.0,315457,4,4,4,6,4,không
6.5,40.0,315456,4,4,4,6,4,không
6.5,40.0,315455,4,4,4,6,4,không
6.5,40.0,315454,4,4,4,6,4,không
6.5,40.0,315453,4,4,4,6,4,không
6.5,40.0,315452,4,4,4,6,4,không
6.5,40.0,315451,4,4,4,6,4,không
6.5,40.0,315450,4,4,4,6,4,không
6.5,40.0,315449,4,4,4,6,4,không
6.5,40.0,315448,4,4,4,6,4,không
230.0,276.0,315409,8,10,7,34,35,không
6.9,53.0,315407,3,4,3,4,3,không
6.9,53.0,315406,3,4,3,4,3,không
6.9,53.0,315405,3,4,3,4,3,không
6.9,53.0,315404,3,4,3,4,3,không
6.9,53.0,315403,3,4,3,4,3,không
6.9,53.0,315402,3,5,3,4,3,không
6.9,53.0,315401,3,5,3,4,3,không
62.0,333.0,315248,13,6,3,9,9,không
7.1,40.0,315377,4,5,5,8,8,không
3.0,51.0,315375,4,5,2,2,2,không
2.7,23.0,315351,4,3,4,2,3,không
1.35,56.0,315337,1,5,1,2,3,đầy đủ
5.7,35.0,315325,12,5,4,4,5,không
3.0,51.0,315322,4,5,2,2,2,không
12.8,85.0,315302,5,10,2,3,4,không
5.4,45.0,315291,5,4,4,3,4,không
15.0,95.0,314218,5,15,2,2,2,không
7.5,48.0,315244,4,6,4,4,5,không
0.0,0.0,315241,5,3,4,5,5,không
4.8,61.0,315235,5,4,1,2,2,không
8.25,63.0,315233,4,4,3,4,5,không
6.499,55.0,315226,6,5,4,5,4,không
6.499,55.0,315225,6,5,4,5,4,không
6.499,55.0,315223,6,5,4,5,4,không
6.499,55.0,315222,6,5,4,5,4,không
6.499,55.0,315221,6,5,4,5,4,không
6.499,55.0,315220,6,5,4,5,4,không
4.0,29.0,315214,3,6,4,4,3,không
4.0,29.0,315210,3,6,4,4,3,không
6.499,55.0,315205,6,5,4,5,4,không
6.499,55.0,315204,6,5,4,5,4,không
6.499,55.0,315203,6,5,4,5,4,không
6.499,55.0,315201,6,5,4,5,4,không
6.499,55.0,315200,6,5,4,5,4,không
6.499,55.0,315198,6,5,4,5,4,không
6.499,55.0,315197,6,5,4,5,4,không
50.0,405.0,315193,15,10,3,5,6,không
125.0,233.0,315192,10,10,4,6,8,không
6.99,70.0,314040,4,6,4,6,4,cơ bản
16.0,125.0,314110,7,8,5,5,7,cơ bản
4.5,59.0,314838,4,4,3,3,1,không
10.3,100.0,313947,5,4,4,7,7,cơ bản
4.3,50.0,313972,5,3,2,2,2,không
6.3,70.0,313948,4,6,3,4,5,không
12.5,56.0,313960,1,1,1,1,1,không
0.0,0.0,315070,3,3,4,5,4,không
1.45,56.0,315177,1,5,1,2,3,đầy đủ
0.0,0.0,315172,5,6,3,3,3,không
125.0,233.0,315163,10,10,4,6,8,không
16.0,96.0,315142,4,10,2,2,2,không
3.1,44.0,315136,4,6,2,2,1,không
8.0,68.0,315118,4,6,2,4,2,không
4.5,39.0,315116,4,4,3,4,3,không
3.3,26.0,315099,5,3,3,3,2,không
50.0,405.0,315097,15,10,3,5,6,không
17.8,71.0,315096,4,30,3,4,3,đầy đủ
230.0,276.0,315091,8,10,7,34,35,không
25.0,85.0,313151,1,1,1,1,1,không
11.8,81.0,315049,8,6,1,2,1,không
2.567,44.0,315039,4,3,2,2,2,không
2.65,25.0,315038,4,6,1,2,2,không
3.0,35.0,315034,6,3,2,2,2,không
5.7,27.0,315031,9,10,3,2,3,không
1.4,15.0,315013,2,2,2,3,2,không
3.1,36.0,313943,4,4,3,2,2,không
16.99,125.0,313969,4,12,6,32,32,đầy đủ
4.0,29.0,314988,3,6,4,4,3,không
29.5,62.0,307493,4,20,4,8,1,không
5.2,75.0,314984,6,5,1,1,1,không
2.0,55.0,314970,4,6,1,2,2,không
23.9,280.0,314969,7,15,2,2,2,không
23.0,139.0,314965,5,6,6,28,28,không
2.9,29.0,314964,3,8,3,3,3,không
15.6,72.0,314397,6,15,3,3,3,không
3.35,41.0,314939,10,10,1,2,2,không
26.8,247.0,314555,1,1,1,1,1,không
3.95,31.0,314924,3,3,2,2,2,không
5.15,43.0,314922,4,5,5,4,4,không
2.8,40.0,314917,7,3,1,2,1,không
2.5,45.0,314916,7,3,1,2,1,không
2.5,40.0,314915,6,3,1,2,1,không
2.8,40.0,314913,7,3,1,2,1,không
2.8,40.0,314912,7,3,1,2,1,không
2.1,170.0,314910,6,6,2,10,10,không
21.0,170.0,314909,6,6,2,10,10,không
2.0,55.0,314896,4,6,1,2,2,không
19.0,89.0,314885,5,5,4,10,4,cơ bản
3.5,35.0,314419,5,3,4,4,3,không
4.9,42.0,314238,4,8,3,4,3,không
0.0,20.0,314362,4,5,3,2,3,không
27.0,108.0,314883,12,12,4,8,1,không
5.8,95.0,314857,6,3,2,3,3,không
5.3,25.0,314856,3,6,2,2,2,không
5.3,56.0,314331,4,6,2,2,2,không
36.0,151.0,310237,1,1,1,1,1,không
19.8,64.0,308234,4,20,4,8,1,không
29.9,80.0,314790,4,30,4,8,9,cơ bản
0.0,0.0,314744,1,1,1,1,1,không
21.0,170.0,314733,6,6,2,10,10,không
3.2,52.0,314730,4,3,2,2,1,không
2.8,22.0,314700,3,8,4,3,3,không
6.99,90.0,314691,9,8,4,5,5,không
5.2,80.0,314687,5,8,4,4,5,không
45.0,103.0,305285,6,12,4,8,8,cơ bản
7.45,50.0,314654,4,2,4,4,10,không
28.0,81.0,307690,1,1,1,1,1,không
3.2,55.0,314595,4,4,1,2,2,không
8.9,100.0,314585,5,4,3,5,4,không
8.9,100.0,314584,5,4,3,5,4,không
8.9,100.0,314582,5,4,3,5,4,không
8.9,100.0,314581,5,4,3,5,4,không
8.9,100.0,314579,5,4,3,5,4,không
8.9,100.0,314578,5,4,3,5,4,không
3.2,55.0,314567,4,4,1,2,2,không
14.7,68.0,314514,6,10,3,4,4,không
14.7,76.0,314513,4,7,5,8,8,không
14.7,76.0,314512,4,7,5,8,8,không
14.7,76.0,314511,4,7,5,8,8,không
14.7,68.0,314508,6,10,3,4,4,không
14.7,76.0,314504,4,7,5,8,8,không
14.7,76.0,314503,4,7,5,8,8,không
14.7,76.0,314501,4,7,5,8,8,không
14.7,76.0,314500,4,7,5,8,8,không
5.2,95.0,314409,5,1,4,4,5,không
7.9,86.0,314408,6,6,4,4,5,không
0.0,0.0,314363,1,1,1,1,1,không
6.3,45.0,314338,4,4,2,3,3,không
6.8,63.0,314337,4,4,2,3,3,không
5.8,53.0,314333,4,4,2,2,2,không
9.2,60.0,314332,5,1,4,4,4,không
3.6,35.0,314299,1,1,2,2,1,đầy đủ
6.9,68.0,314279,5,1,1,3,2,không
2.3,24.0,314278,4,6,3,3,3,cơ bản
2.3,70.0,314265,7,10,1,2,1,không
4.65,43.0,314250,1,6,3,3,1,đầy đủ
9.7,66.0,313993,6,10,2,2,2,cơ bản
4.9,45.0,314206,4,4,2,3,2,không
4.1,53.0,314156,1,1,2,3,1,đầy đủ
6.6,86.0,314085,4,5,3,3,3,không
7.2,58.0,314079,6,4,4,4,5,không
6.48,83.0,314073,8,4,3,4,5,không
4.28,40.0,314070,4,5,3,4,4,không
8.8,125.0,314065,4,8,2,2,2,không
6.2,78.0,314063,4,5,3,4,5,không
2.5,23.0,314061,4,4,1,3,2,đầy đủ
74.0,1600.0,314059,20,20,4,6,8,không
7.5,68.0,314056,4,6,5,5,5,không
7.3,58.0,314051,4,6,3,3,4,không
7.3,58.0,314050,4,6,3,3,4,không
8.7,56.0,314047,4,6,4,4,5,không
25.0,210.0,314027,10,12,4,6,7,không
9.0,116.0,314016,6,20,2,2,2,không
2.6,17.0,314012,1,1,1,1,1,không
2.6,17.0,314011,1,1,1,2,1,không
12.3,80.0,314002,4,20,4,4,5,không
6.25,88.0,313998,5,5,2,4,2,không
8.6,65.0,313986,5,12,2,3,3,không
8.7,88.0,313982,4,5,2,4,2,không
10.5,65.0,313967,6,4,3,4,5,không
10.3,65.0,313962,6,4,3,4,5,không
4.35,32.0,313961,4,2,1,3,4,không
4.4,48.0,313958,4,6,4,4,4,không
2.7,40.0,313954,1,1,2,2,1,đầy đủ
6.5,83.0,313949,8,4,3,4,5,không
16.0,150.0,313933,1,1,1,3,2,không
16.0,140.0,313930,1,1,1,3,2,không
6.4,85.0,313928,9,4,3,4,5,không
2.9,45.0,313924,5,4,2,2,2,không
2.9,45.0,313923,5,4,2,2,2,không
2.8,30.0,313921,3,6,2,2,2,không
14.2,170.0,313916,11,12,3,10,10,không
6.9,78.0,313887,5,4,4,1,1,không
5.3,158.0,313836,23,3,1,8,8,không
7.6,50.0,313832,5,5,3,4,5,không
6.5,35.0,313830,5,4,3,3,2,không
1.55,14.0,313823,3,4,3,2,3,không
12.0,100.0,313818,5,15,3,4,5,không
1.8,117.0,313807,1,1,1,1,1,không
4.6,43.0,313795,4,2,4,5,3,không
1.55,14.0,313770,3,4,3,2,3,không
6.2,84.42,313767,4,4,2,4,3,đầy đủ
4.0,213.0,313732,8,14,1,4,2,không
5.7,44.0,313728,1,1,2,3,2,không
4.2,48.0,313724,4,8,2,2,2,không
8.9,60.0,313717,5,6,5,4,5,không
4.5,90.0,313714,6,5,1,2,1,không
2.9,45.0,312405,4,3,2,2,1,cơ bản
7.5,91.0,297532,9,4,3,10,10,đầy đủ
2.45,38.0,312398,6,3,2,2,1,cơ bản
2.8,37.0,312112,3,3,2,3,1,cơ bản
2.39,40.0,312111,4,3,2,2,1,cơ bản
4.3,73.0,309154,5,3,2,3,2,cơ bản
5.99,106.0,309746,6,4,2,5,5,cơ bản
2.0,20.0,308452,4,3,2,2,2,cơ bản
2.6,21.0,309132,3,5,2,2,2,cơ bản
2.85,36.0,309937,4,3,2,2,2,cơ bản
6.9,71.0,310078,7,3,2,2,2,cơ bản
2.78,20.0,310231,3,3,3,3,2,cơ bản
2.38,50.0,313506,3,3,3,2,3,cơ bản
2.0,40.0,313568,4,3,2,2,2,cơ bản
4.3,81.0,313683,5,12,2,3,2,không
3.26,25.0,313647,5,1,1,1,1,không
5.5,80.0,313627,8,6,2,4,4,không
23.0,1400.0,313617,30,1,3,5,2,không
23.0,1400.0,313605,30,1,3,5,2,không
32.0,115.0,313582,5,1,3,1,1,không
39.0,700.0,313579,18,1,3,1,1,không
23.0,1400.0,313567,30,1,3,5,2,không
23.0,1400.0,313560,30,1,3,5,2,không
23.0,1400.0,313553,30,1,3,5,2,không
7.2,64.0,313546,4,6,5,3,4,không
23.0,1400.0,313543,30,1,3,5,2,không
10.2,95.0,313542,6,6,4,6,6,không
0.0,0.0,313539,1,1,1,1,1,không
9.8,120.0,313530,7,6,1,2,2,không
14.2,129.0,313527,5,6,3,4,5,không
0.0,0.0,313520,1,1,1,1,1,không
0.0,0.0,313512,1,1,1,1,1,không
7.6,45.0,313491,45,6,4,4,5,không
3.1,32.0,313470,1,1,1,1,1,không
4.6,38.5,313468,4,4,2,2,2,không
5.3,50.0,313465,3,3,2,5,3,không
5.85,180.0,313448,15,4,2,3,3,không
22.5,140.0,313430,8,16,4,8,5,không
0.0,0.0,313409,1,1,1,1,1,không
0.0,100.0,313405,5,1,1,1,1,không
2.55,20.0,313391,1,1,1,1,1,không
8.0,100.0,313390,6,1,4,9,9,không
0.0,41.0,313382,4,1,6,6,4,không
4.65,52.0,313379,4,1,3,4,5,không
5.2,56.0,313378,5,9,3,4,3,không
25.2,111.0,313376,10,9,4,6,7,không
5.35,60.0,313375,4,8,3,4,3,không
7.6,120.0,313372,6,5,2,4,3,không
4.15,75.0,313360,4,4,3,3,2,không
21.0,80.0,313344,10,15,4,4,3,không
3.99,90.0,313343,5,6,3,3,2,không
4.3,56.0,313311,4,2,2,2,3,không
3.5,56.0,313287,4,4,2,2,2,không
10.0,98.0,313265,7,9,2,3,2,không
5.3,200.0,313252,9,2,2,3,2,không
3.8,103.0,313251,5,5,2,2,1,không
3.75,36.0,313222,4,5,3,3,2,không
4.3,56.0,313214,4,2,2,2,3,không
5.5,48.0,313207,1,6,1,1,1,không
4.5,113.0,313195,7,6,2,3,2,không
8.1,52.1,313186,8,4,3,7,7,đầy đủ
5.2,56.0,313185,4,5,2,3,2,không
6.5,75.0,313183,5,3,3,8,4,không
1.8,55.0,313165,5,5,1,2,2,không
0.0,0.0,313158,1,4,4,1,3,không
10.2,70.0,313156,5,8,4,7,4,đầy đủ
1.8,60.0,313154,1,6,3,3,2,đầy đủ
0.0,0.0,313142,1,1,1,1,1,không
11.0,1210.0,313141,33,20,14,1,1,không
31.5,170.0,313137,11,6,1,1,1,không
23.0,200.0,313128,16,16,3,5,4,cơ bản
3.6,66.0,313092,1,1,1,1,1,không
0.0,0.0,313069,1,1,1,1,1,không
3.4,35.0,313057,1,1,1,1,1,không
2.45,50.0,313035,5,5,2,2,1,không
1.5,32.0,313026,4,8,2,2,2,không
8.5,83.0,313015,5,2,3,5,7,không
5.5,56.0,312986,4,4,4,4,3,không
8.5,83.0,312967,5,2,3,5,7,không
8.5,83.0,312966,5,2,3,5,7,không
11.0,93.0,312965,4,12,5,8,9,không
19.0,180.0,312952,9,12,4,5,7,không
2.95,44.0,312948,1,10,3,3,3,không
39.9,150.0,312939,6,15,6,6,6,không
16.8,60.0,312925,6,6,5,1,1,không
17.5,125.0,312921,5,12,5,4,6,không
15.8,400.0,312895,1,10,3,3,3,không
7.9,42.0,312873,5,8,3,3,3,không
9.2,102.0,312866,5,8,2,4,3,không
8.0,58.0,312854,4,8,4,4,3,không
1.35,65.0,312845,7,3,1,2,2,không
4.5,50.0,312841,4,5,1,1,1,không
4.5,50.0,312833,4,1,1,1,1,không
6.0,80.0,312820,5,12,2,3,3,không
6.0,84.0,312819,5,12,3,3,3,không
2.9,50.0,312402,3,3,2,3,3,cơ bản
11.5,199.0,308973,4,4,5,13,13,đầy đủ
4.8,131.0,308289,6,8,2,13,13,cơ bản
2.05,25.0,310286,3,3,2,2,1,cơ bản
4.2,72.0,310133,4,3,2,7,7,đầy đủ
2.67,18.0,312632,3,8,2,1,2,cơ bản
14.9,56.0,312723,6,8,4,4,4,không
5.7,40.0,312714,8,8,3,4,4,đầy đủ
5.5,50.0,312693,4,1,2,1,1,không
5.1,50.0,312638,5,6,4,4,5,không
4.16,214.0,312621,9,6,1,3,3,không
5.29,60.0,312619,3,8,1,5,4,không
0.0,70.0,312605,6,1,6,1,1,không
0.0,800.0,312604,14,12,2,10,9,không
